name	phase	seconds	blocks	cockpitHP	unpowered	position	speed	enemies
CODEX_01_Bastion	flight	0.10	737	500	0	(-2.50, -0.54, 10.50)	0.90	1
CODEX_01_Bastion	flight	1.02	737	500	0	(-2.50, -1.07, 10.50)	0.00	1
CODEX_01_Bastion	flight	2.02	737	500	0	(-2.50, -0.22, 10.50)	2.82	1
CODEX_01_Bastion	flight	3.03	737	500	0	(-2.50, 4.86, 10.49)	6.51	1
CODEX_01_Bastion	flight	4.00	737	500	0	(-2.50, 11.34, 10.48)	6.34	1
CODEX_01_Bastion	flight	5.02	737	500	0	(-2.50, 16.64, 10.76)	3.91	1
CODEX_01_Bastion	flight	6.03	737	500	0	(-2.50, 18.99, 12.55)	2.98	1
CODEX_01_Bastion	flight	7.00	737	500	0	(-2.50, 18.75, 16.32)	4.88	1
CODEX_01_Bastion	flight	8.03	737	500	0	(-2.50, 16.99, 21.88)	6.35	1
CODEX_01_Bastion	flight	9.01	737	500	0	(-3.73, 15.06, 27.19)	5.44	1
CODEX_01_Bastion	flight	10.02	737	500	0	(-7.45, 13.58, 30.83)	5.52	2
CODEX_01_Bastion	flight	11.01	737	500	0	(-12.65, 13.00, 33.14)	6.16	2
CODEX_01_Bastion	flight	12.02	737	500	0	(-19.05, 13.22, 34.66)	6.87	2
CODEX_01_Bastion	flight	13.00	737	500	0	(-24.97, 13.82, 34.35)	5.29	2
CODEX_01_Bastion	flight	14.03	737	500	0	(-29.01, 14.43, 31.15)	5.24	2
CODEX_01_Bastion	flight	15.04	737	500	0	(-31.58, 13.42, 26.17)	6.13	2
CODEX_01_Bastion	flight	16.02	737	500	0	(-33.16, 12.54, 20.17)	6.69	2
CODEX_01_Bastion	flight	17.02	737	500	0	(-32.89, 12.71, 14.32)	5.15	2
CODEX_01_Bastion	flight	18.01	737	500	0	(-29.83, 13.47, 10.50)	5.24	2
CODEX_01_Bastion	flight	19.04	737	500	0	(-24.73, 14.34, 7.93)	6.02	2
CODEX_01_Bastion	flight	20.01	737	500	0	(-18.83, 14.16, 6.39)	6.78	2
CODEX_01_Bastion	flight	21.00	737	500	0	(-12.30, 12.86, 5.42)	6.42	3
CODEX_01_Bastion	flight	22.04	737	500	0	(-6.51, 12.67, 4.81)	4.68	3
CODEX_01_Bastion	flight	23.05	737	500	0	(-2.71, 13.27, 4.47)	3.12	3
CODEX_01_Bastion	flight	24.02	737	500	0	(-0.32, 14.09, 4.26)	2.11	3
CODEX_01_Bastion	completed	24.02
